Año;ARG;BOL;BRA;CHL;COL;ECU;PER;PRY;URY
2012;545982;27084;2465228;267176;370921;87925;192649;33296;51264
2013;552025;30659;2472819;277239;382116;95130;201175;38651;57531
2014;526320;32996;2456044;259405;381112;101726;200789;40378;57236
2015;594749;33000;1802212;242497;293482;99290;189805;36211;53274
2016;557531;33941;1795693;249299;282825;99938;191896;36090;57237
2017;643629;37509;2063515;276365;311884;104296;211007;38997;64234
2018;524820;40288;1916934;295403;334198;107562;222597;40225;64515
2019;452818;40895;1873288;278585;323110;108108;228323;37925;61231
2020;389591;36630;1448566;252727;270300;99291;201705;35432;53561
2021;491493;40408;1608981;317059;314322;106166;223249;38987;59320